Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth,Beta_Rank,Value_PBR_Rank,Volatility_1Y_Rank,Size_MarketCap_Rank,Investment_AssetGrowth_Rank,Momentum_1Y_Rank,Profitability_ROE_Rank,Composite_Rank_Score
GF,0.948,0.3617325144466357,0.6835956806819692,0.86562824,0.0132328079123041,0.0118488954799396,187928144,0.30961,-0.130756999455347,2134.0,953.0,328.0,1123.0,686.0,996.0,299.0,6519.0
FMY,0.256,0.0569854914967731,0.3604274858623066,0.9622021,0.0065748539519951,0.0087648600653712,51694924,0.104890004,-0.1006623386817211,366.0,1211.0,46.0,572.0,820.0,2172.0,1454.5,6641.5
GLU,0.769,0.1742486538369534,0.6046416136401171,1.0343833,0.0121649864622721,0.0125914493182449,107302608,0.19327,-0.0716362313502027,1529.5,1422.0,263.0,845.0,1026.0,1581.0,649.0,7315.5
MBBC,0.393,0.6246960369089829,0.3143107041787412,0.7004879,0.0215863786405156,0.0201159314040939,30831394,0.01456,-0.0818523355185612,610.5,741.0,1385.0,433.0,941.0,627.0,2586.0,7323.5
JOYY,0.279,0.8238999668075506,1.6413307303437632,0.47981396,0.0257174540207991,0.0280084093123679,3157792512,0.27582002,-0.1126925051259066,402.0,503.0,1888.0,3017.0,768.0,445.0,375.0,7398.0
LSBK,0.284,0.3441387080097884,0.4255772386764502,0.7981192,0.0195459581657372,0.0191875982718044,102279296,0.06424,-0.0546311083161637,413.0,859.0,1089.0,831.0,1165.0,1039.0,2078.0,7474.0
GGN,0.355,0.2912773563481303,1.184563729373263,1.1337467,0.011282875916778,0.0102415616439133,799019904,0.18195999,-0.0348557209598432,537.5,1614.0,203.0,2088.0,1367.0,1175.0,707.0,7691.5
LOAN,0.344,0.0936993169089395,0.2625244115213561,1.4379774,0.0159579503820294,0.0151851038768746,62455036,0.12682,-0.1112781930491791,516.5,2052.0,617.0,637.0,775.0,1977.0,1150.5,7725.0
TCBS,0.059,0.1091470618604393,0.0735742415838431,0.86730635,0.0118207353884856,0.017919294846947,48535916,0.044970002,-0.0189959384484696,203.0,959.0,242.0,544.0,1580.0,1905.0,2304.0,7737.0
PPT,0.294,0.0949578485596636,0.3650030772649391,0.9841059,0.0067279475006209,0.0073266112133959,355033376,0.05993,-0.2349138511381118,435.5,1290.0,55.0,1520.0,367.0,1969.0,2125.0,7761.5
