Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth,Beta_Z,Value_PBR_Z,Volatility_3Y_Z,Size_MarketCap_Z,Investment_AssetGrowth_Z,Momentum_3Y_Z,Profitability_ROE_Z,Composite_Z_Score
PSIX,1.588,4.647988155199303,64.21764684515429,18.807465,0.0735593594313076,0.0696129453044173,2553319168,1.38288,0.15433885678308,0.010211512559507,-0.1217045354899988,0.0140677505848093,0.1135023364011362,0.0203220311616301,29.144461063699893,0.1825858237480813,29.36344598266506
ABBV,0.525,0.1755539340379353,0.7439436509830142,-2115.2886,0.0175781421975984,0.0145492841898735,388625137664,1.1285399,0.0033404844444774,0.0137420320596688,20.472017821670605,0.0156890346647404,-2.5966875345407026,0.0335920120566591,0.0594203829660675,0.1574880971990765,18.15526184607611
SLNO,-2.718,0.3398421441166337,35.44067835878575,13.547574,0.0415784268227935,0.1943106713587461,3427853056,-0.69526,0.8317016342817296,0.0245129396222507,-0.0709473382581451,0.0103961741955289,0.1073631861925396,-0.0392057039867634,15.958223976920255,-0.0224805006362718,15.967862734049396
HCA,1.422,0.0352719455474932,1.2818215421788284,-22.390497,0.0179104123789574,0.0162191512691652,97486372864,136.31683,0.0587429506680187,0.0107628448615078,0.2758499162627871,0.0156398674125734,-0.5529192676070894,0.0287231538237023,0.3058878105689707,13.497573823190898,13.58151814851335
TSSI,1.771,1.591988116708233,29.120689338013324,44.005035,0.0864202442500074,0.076897714742625,503384832,1.2280201,2.7721875,0.0096037185157351,-0.3648574887077441,0.0138532592037955,0.1278926933434434,-0.2097387366701379,13.062266619451362,0.1673045864457202,12.806324651582177
CLS,1.624,3.845053426129192,28.041064549356044,15.730734,0.0468523157629103,0.0360850110177023,27778289664,0.30236,0.0165860283507342,0.0100919465181093,-0.0920145205835381,0.0150549407750683,-0.0635747157374783,0.0324279722603483,12.5675589008554,0.0759624659262881,12.545506990014198
SKYX,-3584.22,0.5061728703941155,-0.6494252810564519,-15.844156,0.0563623730048256,0.0540370153955726,135965424,-4.81191,-0.1369398907690778,11.919680061793748,0.2126786601884749,0.0145263653350853,0.1304719449496037,0.0459200780496956,-0.5790517721509194,-0.4287025474073496,11.315522790758337
APP,2.439,4.089755541791351,30.590550814509218,186.33382,0.0579598457706682,0.0482014471541816,217129385984,2.53772,0.0951771229479396,0.007385104192021,-1.7383099446645496,0.0146981867086667,-1.3928025917771107,0.0255212599052926,13.73578933338768,0.29654291713545,10.94882426488745
INOD,2.581,3.4909443812328496,23.024220686828627,25.495777,0.0780928354640549,0.0705161022549578,2210882304,0.74317,0.9089195874207064,0.0069134825842854,-0.1862457914460963,0.0140411582014488,0.115906212767625,-0.045991742452196,10.26873118973016,0.119460635660698,10.292815145045925
UAMY,0.054,7.662337975993417,17.027027000903736,21.174604,0.0758770931235594,0.0572064408966582,858614720,-0.02792,0.2330524351401379,0.0153063544346228,-0.1445470888999863,0.0144330453668263,0.1253990110848836,0.0134045547358893,7.520685722904725,0.0433711556114564,7.588052755238417
RGTI,1.446,40.35947709973922,16.87570606248614,18.51375,0.1158459477275875,0.093968995118881,10256585728,-0.48808,0.7808871073646295,0.0106831341672426,-0.1188702276716516,0.0133506156356446,0.059426089433907,-0.0347400412717523,7.451347155462725,-0.002036429935573,7.379160295820542
ACIC,-0.285,0.0321861799758349,15.765652434064505,1.5237325,0.02876513313246,0.0670741246987857,551047936,0.31544,0.1447074393483298,0.0164322679911185,0.0450810156564221,0.0141425031411485,0.1275581025872943,0.0211684556850984,6.942696276189554,0.077253171808927,7.244331793059563
DAVE,3.945,4.724319129901936,15.72240049070777,14.240502,0.0636497445325577,0.0611056165128991,3091612928,0.30724,0.0180394050805549,0.0023832581268812,-0.0776339945336219,0.0143182387734485,0.1097235620227667,0.0323002471654396,6.922877288660134,0.0764440136867833,7.080412613901832
STRL,1.346,1.3106111611539295,15.398951158237027,11.869114,0.0373563252715105,0.0329940351376007,10465942528,0.38217,0.1348144030106055,0.0110152620600142,-0.0547504388802346,0.0151459508874442,0.0579564232951477,0.0220378717003985,6.774665721985202,0.0838379427224208,6.9099087337703935
PLTR,2.592,3.7314886416009054,22.84594854654909,71.824,0.0449981681338743,0.0426003114387767,425977806848,0.15203,0.4020982105839234,0.0068769485160805,-0.6333065294371117,0.0148631054950516,-2.858899954161191,-0.0014514610991298,10.187042991447315,0.0611282292797196,6.776253330040735
QURE,0.134,8.405940238803817,1.7974087915519503,-650.68494,0.1813705726496441,0.1151750388706917,2606179072,-4.2746797,-0.3308364063971027,0.0150406521204056,6.338801593974104,0.0127262288724468,0.1131312645706207,0.0629600170778251,0.5421411779928201,-0.3756898326870211,6.709111101921201
RYTM,2.238,0.8979632012466425,3.70208640427868,-521.0215,0.036858665890797,0.0390209688317775,6436771328,-1.16967,0.1788997580729988,0.0080526812564918,5.087567909123861,0.0149684949854684,0.0862408472064043,0.0181635794787798,1.4149061666744167,-0.0692942451150755,6.560605433610347
IONQ,2.536,8.220973595485418,14.419624467341034,17.140867,0.0803280585246934,0.0630861525720895,23860809728,-0.56560004,-0.0816358972506232,0.0070629401360326,-0.1056221027186328,0.0142599242422768,-0.0360743545779261,0.0410598737571418,6.325916788000615,-0.0096859384715369,6.236917130367971
