Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth,Beta_Z,Value_PBR_Z,Volatility_3Y_Z,Size_MarketCap_Z,Investment_AssetGrowth_Z,Momentum_3Y_Z,Profitability_ROE_Z,Composite_Z_Score
SKYX,-4033.204,0.1875000116415324,-0.4532374113059292,-19.74026,0.0558626385715315,0.0550916616392074,171218832,-4.81191,-0.1369398907690778,63.935080920968474,0.24597406788492077,0.015240111996853089,0.12763569784314766,0.045697141129137066,-0.4244162457927483,-0.4345857787460183,63.51062591528377
SLNO,-3.187,-0.1610974278769968,50.84782597569077,5.176905,0.0462319333681072,0.1945141386218251,2561968128,-0.20658001,0.8317016342817296,0.05063982861622766,0.013396447045480635,0.011329887788691222,0.11230145291315712,-0.03572315381005159,20.69626791122395,0.026080284927862872,20.874292658705315
APP,2.501,2.678018282120203,44.11863195069989,142.38171,0.0592331239052909,0.0481682838801731,209508450304,2.41886,0.0951771229479396,-0.03952721061296158,-1.2672776230037934,0.01543428412678161,-1.2150514612531755,0.02618627438588862,17.925853961692823,0.28870014440477626,15.73431836974034
CVNA,3.539,0.2722973237055159,39.05138130738066,18.831072,0.0452166313899659,0.0732870083317362,35550715904,0.6815,0.1998302927450148,-0.05598174414318283,-0.11405198761409621,0.014729807728468198,-0.09928808480090735,0.01738952994448971,15.83966328032943,0.11491394577789917,15.717374747222102
ACIC,-0.514,-0.0520026616016303,35.023897853109105,1.6370012,0.0213999139217009,0.0662791214220934,592010816,0.29345,0.1447074393483298,0.008267026953143469,0.04643802315594477,0.014926349990771874,0.12493674176355016,0.022022945780355654,14.18154548765145,0.07609773360704242,14.474234308902258
PSIX,1.969,1.7485357108740345,32.860825001997064,23.154743,0.0730996108373002,0.0697873099889156,1513558784,1.38288,0.15433885678308,-0.03109386587492912,-0.15440927201914323,0.014827959801774622,0.11902594121257215,0.02121336573661484,13.2910068617302,0.18507221118801515,13.445643201775104
RGTI,1.647,27.141665929887058,29.42342344374154,19.760094,0.1173643365563401,0.0941865199191886,10947058688,-0.48808,0.7808871073646295,-0.025989473007172626,-0.12272350889139635,0.01414366281183324,0.058519555906089406,-0.031451879389343046,11.875826203873622,-0.0020778476270502913,11.766246713676582
CLS,1.507,2.976543285228588,28.57759375104267,18.259638,0.0468126410370726,0.0363020941281741,37053296640,0.37248,0.0165860283507342,-0.023770171760321975,-0.10871820424882314,0.01576708170311999,-0.10892562440887028,0.032792340651076356,11.52759751989185,0.08400301707016007,11.41874595889819
IREN,4.22,4.650362435114081,27.879628976554077,8.858279,0.0639784535583883,0.0757210859360735,17682579456,0.05965,1.550550433329083,-0.06677705949393492,-0.020965616469376412,0.01466154191237449,0.015317985017683685,-0.09614682936128,11.240244927539282,0.05271097827771293,11.13904592742246
CIFR,2.927,1.9684363209268785,26.010445519835397,10.396985,0.0733017360797324,0.078515579002564,8174454784,-0.09693,0.5110229502752868,-0.046280227264092845,-0.03532794784420865,0.014583167932262992,0.0763030129289223,-0.008768132414343884,10.470700773589394,0.03704845411404136,10.508259101041975
DAVE,3.902,4.132984574468306,25.277901333238816,10.914105,0.0624450652362707,0.0605588621862633,3179536128,0.65632004,0.0180394050805549,-0.0617360752332313,-0.04015476258370614,0.01508677961894218,0.10834037719987814,0.03267017537224057,10.16911181276316,0.11239522223759846,10.335713529374882
TSSI,1.968,0.9180139610874444,23.426471228882097,41.83879,0.0863865391954398,0.0773366659789722,478604608,1.2280201,2.7721875,-0.0310780137231659,-0.32880676864094105,0.014616231569805028,0.12566412818293046,-0.19883296009656323,9.406876726563713,0.16958174672426649,9.158021090580045
UAMY,-0.02,12.639343442150569,22.771428104322776,26.412697,0.0863911534038749,0.0621293197052523,1155468416,-0.02792,0.2330524351401379,0.0004360639821133218,-0.18481911961313466,0.01504273477666466,0.12132272967933845,0.014597003955909191,9.137195007908549,0.04395144806304491,9.147725868752485
INOD,2.364,1.7034883172915651,21.448274597685103,21.323288,0.0790204402717902,0.0707719894465294,2074147968,0.46657002,0.9089195874207064,-0.03735546582140059,-0.1373144120471321,0.014800343612937859,0.11543032712332323,-0.04221379906588673,8.592451771415973,0.09341473767183552,8.59921350288965
HRTG,0.977,1.6164748463541132,20.100001013278977,2.0883706,0.0378439623023397,0.0467385043594472,913123840,0.41645,0.1648219546210272,-0.015368531325815945,0.04222492663506346,0.015474383532668468,0.12287712565555238,0.020332196701664303,8.037366581101798,0.08840128752281456,8.311307969823744
PLTR,1.477,2.2042138769525508,24.49140289248873,64.35081,0.0430142785971859,0.0425128006225687,424084799488,0.19504,0.4020982105839234,-0.02329460720742541,-0.5389346885664178,0.015592897056499508,-2.5913422752150566,0.0003876638244968688,9.84530984726084,0.06625389018548845,6.773972727338426
CTMX,2.387,2.619999885559082,1.9193547239660853,-603.3333,0.1012938027786674,0.1067485689625874,596984704,1.08212,-0.4026869251506502,-0.037720065311954626,5.693250304232683,0.013791349258547721,0.12490483928972157,0.0680348185453798,0.552381617917883,0.15498752114161166,6.569630385073872
WULF,4.309,0.8174705921409777,16.209875974508343,32.955082,0.076752444494594,0.0812993699003186,5717536256,-0.46994,1.0827783743183128,-0.0681879010008614,-0.24588595197209842,0.014505094103749547,0.09206166673022989,-0.056827702497530524,6.435799345440898,-0.00026332349670796164,6.171201227307679
