Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth,Beta_Rank,Value_PBR_Rank,Volatility_1Y_Rank,Volatility_3Y_Rank,Size_MarketCap_Rank,Investment_AssetGrowth_Rank,Momentum_1Y_Rank,Momentum_3Y_Rank,Profitability_ROE_Rank,Composite_Rank_Score
WIA,0.542,0.0839813995496348,0.2895543924827095,0.9291356,0.004557045150992,0.0055126805136816,197539520,0.05034,-0.0863480901398667,921.0,1114.0,5.0,4.0,1134.0,894.0,1924.0,2062.0,2243.0,10301.0
JOF,0.521,0.38102285236508,1.0205315336559253,1.0775087,0.0114549346962604,0.0105062375690121,288722336,0.02834,-0.0018806655364767,871.5,1530.0,212.0,175.0,1374.0,1848.0,917.0,909.0,2469.0,10305.5
LOAN,0.369,0.0564428392675953,0.2446214873439454,1.3905716,0.015015258381167,0.0147763026776135,60396080,0.12682,-0.1112781930491791,557.0,1973.0,502.0,508.0,615.0,758.0,2089.0,2185.0,1145.5,10332.5
VTN,0.715,0.0598868313403104,0.3943234786975296,0.9654759,0.0066524580346683,0.0068173132504519,164635712,0.02882,-0.2991954316093101,1384.5,1239.0,47.0,39.0,1051.0,254.0,2074.0,1819.0,2465.0,10372.5
DMO,0.41,0.1177373454328509,0.6642177979681014,1.0086359,0.0066260446659896,0.0077837835698503,137009184,0.11413,0.0660996134357089,639.0,1385.0,45.0,83.0,951.0,2913.0,1745.0,1325.0,1309.0,10395.0
VPV,0.666,0.0024441318400849,0.2857876443028624,0.9018659,0.0062247587355347,0.006197833547703,186585328,0.052849997,-0.267082306457197,1251.5,1046.0,35.0,16.0,1099.0,307.0,2392.0,2074.0,2216.0,10436.5
FTF,0.485,0.0500854432292747,0.4712997768073708,0.92736614,0.0067654141649444,0.0067095469286173,255361984,0.070149995,-0.029862355157081,796.5,1110.0,56.0,33.0,1289.0,1415.0,2125.0,1668.0,1993.0,10485.5
AEF,0.885,0.2970700080534847,0.8931012203670647,0.9978865,0.0134340078851848,0.0125347045633846,268375424,0.14571,0.0180130618152622,1935.5,1360.0,343.0,302.0,1320.0,2203.0,1091.0,1030.0,971.0,10555.5
BKT,0.473,0.0090324460215611,0.2336482354817777,0.9473773,0.0058330575473167,0.0068785882137635,275236864,0.07217,-0.1235828681894636,777.5,1166.0,25.0,43.0,1341.0,702.0,2343.0,2211.0,1956.5,10565.0
MPV,0.48,0.2758497805863955,1.109874358185074,1.2724026,0.0138761031337006,0.0125207330715572,213909440,0.09089,0.0301165006334113,789.0,1840.0,384.0,300.0,1184.0,2421.0,1149.0,828.0,1671.0,10566.0
