Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth,Beta_Z,Value_PBR_Z,Volatility_3Y_Z,Size_MarketCap_Z,Investment_AssetGrowth_Z,Momentum_3Y_Z,Profitability_ROE_Z,Composite_Z_Score
PSIX,1.588,4.647988155199303,64.21764684515429,18.807465,0.0735593594313076,0.0696129453044173,2553319168,1.38288,0.15433885678308,0.010211512559507066,-0.12170453548999884,0.014067750584809314,0.11350233640113622,0.02032203116163019,29.144461063699893,0.1825858237480813,29.36344598266506
ABBV,0.525,0.1755539340379353,0.7439436509830142,-2115.2886,0.0175781421975984,0.0145492841898735,388625137664,1.1285399,0.0033404844444774,0.013742032059668813,20.472017821670605,0.015689034664740416,-2.5966875345407026,0.033592012056659196,0.059420382966067525,0.1574880971990765,18.15526184607611
SLNO,-2.718,0.3398421441166337,35.44067835878575,13.547574,0.0415784268227935,0.1943106713587461,3427853056,-0.69526,0.8317016342817296,0.024512939622250703,-0.07094733825814513,0.010396174195528974,0.10736318619253962,-0.039205703986763436,15.958223976920257,-0.022480500636271883,15.967862734049396
HCA,1.422,0.0352719455474932,1.2818215421788284,-22.390497,0.0179104123789574,0.0162191512691652,97486372864,136.31683,0.0587429506680187,0.010762844861507867,0.27584991626278715,0.01563986741257342,-0.5529192676070894,0.028723153823702385,0.30588781056897074,13.497573823190898,13.58151814851335
TSSI,1.771,1.591988116708233,29.120689338013324,44.005035,0.0864202442500074,0.076897714742625,503384832,1.2280201,2.7721875,0.009603718515735101,-0.3648574887077441,0.013853259203795508,0.12789269334344344,-0.2097387366701379,13.062266619451362,0.16730458644572027,12.806324651582175
CLS,1.624,3.845053426129192,28.041064549356044,15.730734,0.0468523157629103,0.0360850110177023,27778289664,0.30236,0.0165860283507342,0.010091946518109303,-0.09201452058353812,0.015054940775068379,-0.06357471573747835,0.03242797226034835,12.567558900855401,0.07596246592628811,12.545506990014198
SKYX,-3584.22,0.5061728703941155,-0.6494252810564519,-15.844156,0.0563623730048256,0.0540370153955726,135965424,-4.81191,-0.1369398907690778,11.919680061793747,0.21267866018847495,0.014526365335085384,0.13047194494960376,0.04592007804969562,-0.5790517721509194,-0.4287025474073496,11.315522790758337
APP,2.439,4.089755541791351,30.590550814509218,186.33382,0.0579598457706682,0.0482014471541816,217129385984,2.53772,0.0951771229479396,0.007385104192021039,-1.7383099446645496,0.014698186708666731,-1.3928025917771107,0.025521259905292613,13.73578933338768,0.29654291713545,10.94882426488745
INOD,2.581,3.4909443812328496,23.024220686828627,25.495777,0.0780928354640549,0.0705161022549578,2210882304,0.74317,0.9089195874207064,0.006913482584285415,-0.18624579144609635,0.014041158201448817,0.11590621276762501,-0.04599174245219601,10.26873118973016,0.11946063566069808,10.292815145045925
UAMY,0.054,7.662337975993417,17.027027000903736,21.174604,0.0758770931235594,0.0572064408966582,858614720,-0.02792,0.2330524351401379,0.01530635443462289,-0.14454708889998638,0.014433045366826307,0.1253990110848836,0.013404554735889312,7.520685722904725,0.04337115561145649,7.588052755238417
RGTI,1.446,40.35947709973922,16.87570606248614,18.51375,0.1158459477275875,0.093968995118881,10256585728,-0.48808,0.7808871073646295,0.01068313416724269,-0.11887022767165167,0.013350615635644648,0.05942608943390702,-0.03474004127175238,7.451347155462725,-0.0020364299355730454,7.379160295820542
ACIC,-0.285,0.0321861799758349,15.765652434064505,1.5237325,0.02876513313246,0.0670741246987857,551047936,0.31544,0.1447074393483298,0.0164322679911185,0.045081015656422196,0.014142503141148587,0.1275581025872943,0.02116845568509845,6.942696276189554,0.07725317180892706,7.244331793059563
DAVE,3.945,4.724319129901936,15.72240049070777,14.240502,0.0636497445325577,0.0611056165128991,3091612928,0.30724,0.0180394050805549,0.002383258126881253,-0.07763399453362194,0.014318238773448571,0.10972356202276674,0.032300247165439694,6.922877288660134,0.07644401368678337,7.0804126139018315
STRL,1.346,1.3106111611539295,15.398951158237027,11.869114,0.0373563252715105,0.0329940351376007,10465942528,0.38217,0.1348144030106055,0.011015262060014255,-0.05475043888023461,0.015145950887444219,0.057956423295147726,0.022037871700398552,6.774665721985202,0.08383794272242082,6.9099087337703935
PLTR,2.592,3.7314886416009054,22.84594854654909,71.824,0.0449981681338743,0.0426003114387767,425977806848,0.15203,0.4020982105839234,0.006876948516080542,-0.6333065294371117,0.014863105495051621,-2.858899954161191,-0.0014514610991298305,10.187042991447315,0.06112822927971963,6.776253330040735
QURE,0.134,8.405940238803817,1.7974087915519503,-650.68494,0.1813705726496441,0.1151750388706917,2606179072,-4.2746797,-0.3308364063971027,0.015040652120405637,6.338801593974104,0.012726228872446801,0.11313126457062073,0.0629600170778251,0.5421411779928201,-0.37568983268702116,6.709111101921201
RYTM,2.238,0.8979632012466425,3.70208640427868,-521.0215,0.036858665890797,0.0390209688317775,6436771328,-1.16967,0.1788997580729988,0.008052681256491886,5.087567909123861,0.014968494985468454,0.0862408472064043,0.018163579478779873,1.4149061666744167,-0.06929424511507552,6.560605433610347
IONQ,2.536,8.220973595485418,14.419624467341034,17.140867,0.0803280585246934,0.0630861525720895,23860809728,-0.56560004,-0.0816358972506232,0.007062940136032619,-0.10562210271863287,0.01425992424227682,-0.03607435457792615,0.041059873757141895,6.325916788000615,-0.009685938471536948,6.236917130367971
