Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth,Beta_Rank,Value_PBR_Rank,Volatility_3Y_Rank,Size_MarketCap_Rank,Investment_AssetGrowth_Rank,Momentum_3Y_Rank,Profitability_ROE_Rank,Composite_Rank_Score
VTN,0.692,0.0175665240324205,0.350053689946272,0.9269253,0.0065983458617663,0.006910453063872,158061968,0.02882,-0.2991954316093101,1315.0,1110.0,38.0,1032.0,256.0,2015.0,2469.0,8235.0
IGA,0.529,0.1773462302850015,0.6161008079231898,0.9457261,0.0105702321766622,0.0088536690510399,151572960,0.14681,0.0451371215222196,872.0,1166.0,111.0,1006.0,2664.0,1465.0,959.0,8243.0
CEPU,-0.05,-0.0728188949085221,1.641574669144815,0.0060540545,0.0324123196470825,0.0329561445181895,1352470144,0.094289996,-0.1288656444500901,147.5,138.0,2657.0,2438.0,700.0,552.0,1618.5,8251.0
LSBK,0.284,0.3441387080097884,0.4255772386764502,0.7981192,0.0195459581657372,0.0191875982718044,102279296,0.06424,-0.0546311083161637,413.0,859.0,1064.0,831.0,1165.0,1853.0,2078.0,8263.0
PCM,0.566,-0.0459511250407155,0.165032694528187,1.1200402,0.0119132162259355,0.0139024282164849,81858840,0.093210004,-0.1529531151786863,966.5,1588.0,392.0,738.0,597.0,2431.0,1639.0,8351.5
BKT,0.476,-0.0127755170171295,0.1925162830946969,0.9440148,0.0058794570740057,0.0070709972767789,272795936,0.07217,-0.1235828681894636,760.5,1162.0,48.0,1345.0,719.0,2368.0,1960.5,8363.0
FINS,0.233,0.0929776269314197,0.3508057991825719,0.92890555,0.0060671018451133,0.0060496444224083,437927840,0.112440005,-0.0024217586029455,339.0,1120.0,12.0,1665.0,1864.0,2014.0,1351.0,8365.0
EMD,0.824,0.1360546088926519,0.7754562064684791,0.96074766,0.0081526953479262,0.0098386018692358,597580928,0.13061,-0.0618664545818565,1707.0,1203.0,146.0,1892.0,1099.0,1220.0,1116.0,8383.0
JHS,0.5,0.0714466191150227,0.2707158322301275,0.9749211,0.0053946232597261,0.0060376167308099,136730912,0.14074,0.0133365922600453,820.0,1259.0,11.0,963.0,2137.0,2179.0,1016.0,8385.0
FTF,0.486,0.0744502190464584,0.4496440525254697,0.9376375,0.006751207697654,0.0068424027154964,258190352,0.070149995,-0.029862355157081,783.5,1146.0,36.0,1310.0,1430.0,1802.0,1997.0,8504.5
XYF,0.298,1.9121375559211973,5.830628932223003,0.07559138,0.0493540639243935,0.0443860488498695,569097792,0.24314,0.0145291506439251,440.5,205.0,3297.0,1862.0,2161.0,84.0,457.0,8506.5
EVF,0.333,-0.0169585653337189,0.4335565490728807,0.92217577,0.0076256953560759,0.0078098335441796,100118288,0.063990004,0.013823142501173,496.0,1096.0,77.0,817.0,2143.0,1835.0,2084.0,8548.0
WIA,0.549,0.0673925658199139,0.2457132593235689,0.9192628,0.0046182813347079,0.0056300546451125,195440512,0.05034,-0.0863480901398667,921.5,1088.0,5.0,1147.0,911.0,2242.0,2248.0,8562.5
NIM,0.214,0.0440220815084086,0.1649225403669529,0.9443653,0.0060731428117798,0.0065914359679971,115566680,0.01511,-0.0501237721888061,319.5,1163.0,25.0,883.0,1206.0,2432.0,2580.0,8608.5
MBBC,0.393,0.6246960369089829,0.3143107041787412,0.7004879,0.0215863786405156,0.0201159314040939,30831394,0.01456,-0.0818523355185612,610.5,741.0,1223.0,433.0,941.0,2082.0,2586.0,8616.5
VIOT,0.221,1.6912103699777554,2.215162971026625,0.16669028,0.0695415502660569,0.0561446298029996,240773200,0.103590004,-0.0455023990762707,325.5,263.0,3671.0,1258.0,1254.0,391.0,1471.0,8633.5
MGF,0.338,0.0209590322048331,0.1725318114495986,0.9728364,0.0064865944535281,0.0070951102406017,100377792,0.049310002,-0.0359437641779149,505.0,1246.0,51.0,819.0,1350.0,2416.0,2260.0,8647.0
CIF,0.743,0.132155462300809,0.4465676063571784,0.98955464,0.0080894237718305,0.0085510649801899,32223574,0.086,-0.0048507595219538,1459.0,1313.0,101.0,446.0,1822.0,1808.0,1753.0,8702.0
SWKH,0.199,0.4652858786499638,0.4836567360090493,0.7177814,0.0251591405941184,0.0190405181558995,176380128,0.06576,-0.0060403166454253,307.0,749.0,1031.0,1088.0,1802.0,1719.0,2062.0,8758.0
DMO,0.404,0.1351932848418191,0.5682959315770972,0.9893519,0.0065975923253748,0.0079812733255952,134389728,0.11413,0.0660996134357089,624.5,1312.0,85.0,958.0,2934.0,1552.0,1319.0,8784.5
MIN,0.278,0.0642284589991695,0.257138341220108,0.96146923,0.0064076538205295,0.0074514211464505,303841312,0.0757,-0.0139485574619019,398.0,1207.0,67.0,1422.0,1662.0,2214.0,1901.0,8871.0
WIW,0.534,0.1101796047358067,0.2820509113559826,0.9171659,0.0052546950414221,0.0059440504629965,543315136,0.05027,-0.1251219260348333,885.5,1077.0,8.0,1822.0,711.0,2153.0,2249.0,8905.5
TZOO,1.004,-0.206974952925434,1.0961924885625969,-16.394983,0.0435739146228907,0.0400297426023393,114860624,6.3294096,-0.0119172294247228,2319.0,29.0,3104.0,880.0,1700.0,877.0,8.0,8917.0
SENEA,0.311,0.7180195528010469,1.1085874621788985,1.1280231,0.0174176358413725,0.0211033834954844,728587392,0.07047,-0.1463644791137553,457.0,1601.0,1362.0,2024.0,623.0,863.0,1989.0,8919.0
BGY,0.82,0.0948039572879373,0.630838610141732,0.9131474,0.0113297715133553,0.0101102698806974,519220832,0.07048,-0.100944516576897,1692.5,1064.0,152.0,1783.0,819.0,1433.0,1988.0,8931.5
LFT,0.829,-0.0550844254516599,0.4161210122006689,0.63439566,0.0219857345954889,0.0206156842194508,110439608,0.06012,-0.2200089366024148,1731.0,657.0,1288.0,859.0,399.0,1878.0,2123.0,8935.0
